Recipe,Building,In1_Name,In1_Rate,In2_Name,In2_Rate,In3_Name,In3_Rate,In4_Name,In4_Rate,Out1_Name,Out1_Rate,Out2_Name,Out2_Rate
Adhered Iron PlateAlternate,Assembler,Iron Plate,11.25,Rubber,3.75,,,,,Reinforced Iron Plate,3.75,,
Alclad CasingAlternate,Assembler,Aluminum Ingot,150.0,Copper Ingot,75.0,,,,,Aluminum Casing,112.5,,
Aluminum BeamAlternate,Constructor,Aluminum Ingot,22.5,,,,,,,Steel Beam,22.5,,
Aluminum RodAlternate,Constructor,Aluminum Ingot,7.5,,,,,,,Iron Rod,52.5,,
Automated MinerAlternate,Assembler,Steel Pipe,4.0,Iron Plate,4.0,,,,,Portable Miner,1.0,,
Automated Speed WiringAlternate,Manufacturer,Stator,3.75,Wire,75.0,High-Speed Connector,1.875,,,Automated Wiring,7.5,,
Basic Iron IngotAlternate,Foundry,Iron Ore,25.0,Limestone,40.0,,,,,Iron Ingot,50.0,,
BiocoalAlternate,Constructor,Biomass,37.5,,,,,,,Coal,45.0,,
Bolted FrameAlternate,Assembler,Reinforced Iron Plate,7.5,Screws,140.0,,,,,Modular Frame,5.0,,
Bolted Iron PlateAlternate,Assembler,Iron Plate,90.0,Screws,250.0,,,,,Reinforced Iron Plate,15.0,,
Cast ScrewsAlternate,Constructor,Iron Ingot,12.5,,,,,,,Screws,50.0,,
Caterium Circuit BoardAlternate,Assembler,Plastic,12.5,Quickwire,37.5,,,,,Circuit Board,8.75,,
Caterium ComputerAlternate,Manufacturer,Circuit Board,15.0,Quickwire,52.5,Rubber,22.5,,,Computer,3.75,,
Caterium WireAlternate,Constructor,Caterium Ingot,15.0,,,,,,,Wire,120.0,,
CharcoalAlternate,Constructor,Wood,15.0,,,,,,,Coal,150.0,,
Cheap SilicaAlternate,Assembler,Raw Quartz,22.5,Limestone,37.5,,,,,Silica,52.5,,
Classic BatteryAlternate,Manufacturer,Sulfur,45.0,Alclad Aluminum Sheet,52.5,Plastic,60.0,Wire,90.0,Battery,30.0,,
Cloudy DiamondsAlternate,Particle Accelerator,Coal,240.0,Limestone,480.0,,,,,Diamonds,20.0,,
Coated CableAlternate,Refinery,Wire,37.5,Heavy Oil Residue,15.0,,,,,Cable,67.5,,
Coated Iron CanisterAlternate,Assembler,Iron Plate,30.0,Copper Sheet,15.0,,,,,Empty Canister,60.0,,
Coated Iron PlateAlternate,Assembler,Iron Ingot,37.5,Plastic,7.5,,,,,Iron Plate,75.0,,
Coke Steel IngotAlternate,Foundry,Iron Ore,75.0,Petroleum Coke,75.0,,,,,Steel Ingot,100.0,,
Compacted CoalAlternate,Assembler,Coal,25.0,Sulfur,25.0,,,,,Compacted Coal,25.0,,
Compacted Steel IngotAlternate,Foundry,Iron Ore,5.0,Compacted Coal,2.5,,,,,Steel Ingot,10.0,,
Cooling DeviceAlternate,Blender,Heat Sink,10.0,Motor,2.5,Nitrogen Gas,60.0,,,Cooling System,5.0,,
Copper Alloy IngotAlternate,Foundry,Copper Ore,50.0,Iron Ore,50.0,,,,,Copper Ingot,100.0,,
Copper RotorAlternate,Assembler,Copper Sheet,22.5,Screws,195.0,,,,,Rotor,11.25,,
Crystal ComputerAlternate,Assembler,Circuit Board,5.0,Crystal Oscillator,1.66667,,,,,Computer,3.33333,,
Dark Matter CrystallizationAlternate,Particle Accelerator,Dark Matter Residue,200.0,,,,,,,Dark Matter Crystal,20.0,,
Dark Matter TrapAlternate,Particle Accelerator,Time Crystal,30.0,Dark Matter Residue,150.0,,,,,Dark Matter Crystal,60.0,,
Dark-Ion FuelAlternate,Converter,Packaged Rocket Fuel,240.0,Dark Matter Crystal,80.0,,,,,Ionized Fuel,200.0,Compacted Coal,40.0
Diluted FuelAlternate,Blender,Heavy Oil Residue,50.0,Water,100.0,,,,,Fuel,100.0,,
Diluted Packaged FuelAlternate,Refinery,Heavy Oil Residue,30.0,Packaged Water,60.0,,,,,Packaged Fuel,60.0,,
Distilled SilicaAlternate,Blender,Dissolved Silica,120.0,Limestone,50.0,Water,100.0,,,Silica,270.0,Water,80.0
Electric MotorAlternate,Assembler,Electromagnetic Control Rod,3.75,Rotor,7.5,,,,,Motor,7.5,,
Electrode Aluminum ScrapAlternate,Refinery,Alumina Solution,180.0,Petroleum Coke,60.0,,,,,Aluminum Scrap,300.0,Water,105.0
Electrode Circuit BoardAlternate,Assembler,Rubber,20.0,Petroleum Coke,40.0,,,,,Circuit Board,5.0,,
Electromagnetic Connection RodAlternate,Assembler,Stator,8.0,High-Speed Connector,4.0,,,,,Electromagnetic Control Rod,8.0,,
Encased Industrial PipeAlternate,Assembler,Steel Pipe,24.0,Concrete,20.0,,,,,Encased Industrial Beam,4.0,,
Fertile UraniumAlternate,Blender,Uranium,25.0,Uranium Waste,25.0,Nitric Acid,15.0,Sulfuric Acid,25.0,Non-Fissile Uranium,100.0,Water,40.0
Fine Black PowderAlternate,Assembler,Sulfur,7.5,Compacted Coal,15.0,,,,,Black Powder,45.0,,
Fine ConcreteAlternate,Assembler,Silica,15.0,Limestone,60.0,,,,,Concrete,50.0,,
Flexible FrameworkAlternate,Manufacturer,Modular Frame,3.75,Steel Beam,22.5,Rubber,30.0,,,Versatile Framework,7.5,,
Fused Quartz CrystalAlternate,Foundry,Raw Quartz,75.0,Coal,36.0,,,,,Quartz Crystal,54.0,,
Fused QuickwireAlternate,Assembler,Caterium Ingot,7.5,Copper Ingot,37.5,,,,,Quickwire,90.0,,
Fused WireAlternate,Assembler,Copper Ingot,12.0,Caterium Ingot,3.0,,,,,Wire,90.0,,
Heat ExchangerAlternate,Assembler,Aluminum Casing,30.0,Rubber,30.0,,,,,Heat Sink,10.0,,
Heat-Fused FrameAlternate,Blender,Heavy Modular Frame,3.0,Aluminum Ingot,150.0,Nitric Acid,24.0,Fuel,30.0,Fused Modular Frame,3.0,,
Heavy Encased FrameAlternate,Manufacturer,Modular Frame,7.5,Encased Industrial Beam,9.375,Steel Pipe,33.75,Concrete,20.625,Heavy Modular Frame,2.8125,,
Heavy Flexible FrameAlternate,Manufacturer,Modular Frame,18.75,Encased Industrial Beam,11.25,Rubber,75.0,Screws,390.0,Heavy Modular Frame,3.75,,
Heavy Oil ResidueAlternate,Refinery,Crude Oil,30.0,,,,,,,Heavy Oil Residue,40.0,Polymer Resin,20.0
Infused Uranium CellAlternate,Manufacturer,Uranium,25.0,Silica,15.0,Sulfur,25.0,Quickwire,75.0,Encased Uranium Cell,20.0,,
Instant Plutonium CellAlternate,Particle Accelerator,Non-Fissile Uranium,75.0,Aluminum Casing,10.0,,,,,Encased Plutonium Cell,10.0,,
Instant ScrapAlternate,Blender,Bauxite,150.0,Coal,100.0,Sulfuric Acid,50.0,Water,60.0,Aluminum Scrap,300.0,Water,50.0
Insulated CableAlternate,Assembler,Wire,45.0,Rubber,30.0,,,,,Cable,100.0,,
Insulated Crystal OscillatorAlternate,Manufacturer,Quartz Crystal,18.75,Rubber,13.125,AI Limiter,1.875,,,Crystal Oscillator,1.875,,
Iron Alloy IngotAlternate,Foundry,Iron Ore,40.0,Copper Ore,10.0,,,,,Iron Ingot,75.0,,
Iron PipeAlternate,Constructor,Iron Ingot,100.0,,,,,,,Steel Pipe,25.0,,
Iron WireAlternate,Constructor,Iron Ingot,12.5,,,,,,,Wire,22.5,,
Leached Caterium IngotAlternate,Refinery,Caterium Ore,54.0,Sulfuric Acid,30.0,,,,,Caterium Ingot,36.0,,
Leached Copper IngotAlternate,Refinery,Copper Ore,45.0,Sulfuric Acid,25.0,,,,,Copper Ingot,110.0,,
Leached Iron IngotAlternate,Refinery,Iron Ore,50.0,Sulfuric Acid,10.0,,,,,Iron Ingot,100.0,,
Molded BeamAlternate,Foundry,Steel Ingot,120.0,Concrete,80.0,,,,,Steel Beam,45.0,,
Molded Steel PipeAlternate,Foundry,Steel Ingot,50.0,Concrete,30.0,,,,,Steel Pipe,50.0,,
Nitro Rocket FuelAlternate,Blender,Fuel,100.0,Nitrogen Gas,75.0,Sulfur,100.0,Coal,50.0,Rocket Fuel,150.0,Compacted Coal,25.0
OC SupercomputerAlternate,Assembler,Radio Control Unit,6.0,Cooling System,6.0,,,,,Supercomputer,3.0,,
Oil-Based DiamondsAlternate,Particle Accelerator,Crude Oil,200.0,,,,,,,Diamonds,40.0,,
Petroleum DiamondsAlternate,Particle Accelerator,Petroleum Coke,720.0,,,,,,,Diamonds,30.0,,
Pink DiamondsAlternate,Converter,Coal,120.0,Quartz Crystal,45.0,,,,,Diamonds,15.0,,
